,,REPORTED CASES,,,,PERFOMANCE,,,,,PERSONS TAKEN TO COURT,,,,,,,,,,,SENTENCES IMPOSED BY COURTS,,,,,,,,,,,,,,,
,,,,,,,,,,,ACCUSED CHARGED,,,,ACCUSED CONVICTED,,,,,,,IMPRISONMENT,,,,,,,,,,VICTIMS OF CRIME,,,,VALUE PROPERTY(UGSHS.),
,,Totals Cases,Cases under Inquiry,Not Detected/NPW,Cases taken to court,Cases submitted toDPP/RSA,Cases with convictions,Cases with Acquittals,Cases Dismissed,Cases pending in Court,Male Adult,Male Juven.,Female Adult,Female Juven.,Male Adult,Male Juven.,Female Adult,Female Juven.,Acquitted,Discharged,Awaiting Trial,Male Adult,Male Juven.,Female Adult,Female Juven.,Death,Fined,Probation Bound Over,CAUTION,COMM. WORK,Fines  Awarded (UgShs.),Male Adult,Male Juven.,Female Adult,Female Juven.,Lost,Recovered
S/No.,CASE/CRIME INCIDENCES,1,2,3,4,5,6,7,8,9,10,,,,11,,,,12,13,14,,,,15,16,17,18,19,20,21,,,,22,23,24
,HOMICIDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Death  (by shooting),190,117,29,44,74,3,1,1,39,85,-,-,-,4,-,-,-,1,1,79,4,-,-,-,-,-,-,-,-,-,197,4,17,-,"11,500,000",-
2,Death (by mob action),636,431,109,96,176,2,-,1,93,194,-,10,-,3,-,-,-,-,3,198,3,-,-,-,-,-,-,-,-,-,619,11,25,1,-,-
3,Death (Poisoning),81,54,12,15,17,-,-,-,15,9,-,9,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,65,9,14,4,-,-
4,Death (Aggravated Domestic Violence),362,107,24,231,239,15,-,2,214,208,4,73,2,7,1,6,-,-,4,269,3,1,10,-,-,-,-,-,-,-,174,25,138,16,-,-
5,Death(Fire Out Breaks),42,25,11,6,14,-,-,-,6,8,2,3,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,16,24,7,19,-,-
8,Other Death (Not Specified above),"3,186","1,740",626,820,"1,259",25,2,8,785,"1,062",29,126,3,27,2,-,-,3,16,"1,172",26,1,-,-,-,1,-,-,1,-,"2,475",192,473,104,"600,000",-
,Sub Total(Homicides),"4,497","2,474",811,"1,212","1,779",45,3,12,"1,152","1,566",35,221,5,41,3,6,-,4,24,"1,749",36,2,10,-,-,1,-,-,1,-,"3,546",265,674,144,"12,100,000",-
,ECONOMIC CRIMES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
9,Embezzlement,199,172,19,8,48,3,-,-,5,10,-,1,-,5,-,-,-,-,-,6,4,-,-,-,-,1,-,-,-,"3,000,000",178,-,13,-,"54,403,285,118","602,281,000"
10,Causing Financial losss,58,49,6,3,18,-,-,-,3,3,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,56,-,2,-,"21,829,723,334","35,094,000"
11,Abuse of office,50,39,11,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-,-,-,-,1,-,-,-,-,44,-,1,-,"5,589,167,545","487,000,000"
12,Counterfeiting,541,215,159,167,244,51,1,30,85,199,1,9,1,55,1,-,-,6,41,107,26,-,-,-,-,8,-,13,9,"700,000",416,3,164,-,"226,405,000","13,577,000"
13,Forgeries & Uttering of Documents,898,525,186,187,378,52,5,26,104,196,-,30,-,51,-,12,-,10,31,122,37,-,2,-,-,18,-,1,5,"19,490,000",713,3,125,-,"776,721,600","77,321,000"
14,Issuing False Cheques,344,221,80,43,142,9,-,4,30,42,-,1,-,9,-,-,-,-,4,30,2,-,-,-,-,1,-,6,-,"4,800,000",283,-,69,-,"46,659,863,708","1,369,076,200"
15,Bank and Other Corporate Frauds,17,15,1,1,6,-,-,-,1,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,15,-,2,-,"1,075,338,441","42,870,000"
16,Obtaining By False Pretences,"12,313","5,776","3,936","2,601","4,637",817,51,389,"1,344","2,532",13,235,8,771,3,72,8,83,377,"1,474",491,1,28,-,-,103,1,107,123,"72,330,000","9,525",9,"2,807",5,"121,253,215,820","18,452,845,505"
17,Cyber (Computer) crimes,198,142,40,16,40,6,-,2,8,12,3,4,-,3,3,2,-,-,4,7,1,-,-,-,-,2,-,2,3,"700,000",149,-,51,-,"610,335,098","23,317,000"
18,Land Frauds,345,171,124,50,173,9,4,7,30,66,1,26,-,6,-,1,-,2,7,77,4,-,-,-,-,1,-,-,2,"26,000,000",272,-,78,-,"735,920,000","8,250,000"
19,Other Economic crimes,136,86,13,37,50,5,-,9,23,50,1,1,-,5,-,-,-,-,18,29,4,-,-,-,-,1,-,-,-,"400,000",124,-,22,-,"3,769,213,107","125,626,500"
,Sub Total(Economic crimes),"15,099","7,411","4,575","3,113","5,746",952,61,467,"1,633","3,112",19,307,9,905,7,87,8,101,482,"1,857",568,1,30,-,-,136,1,129,142,"127,420,000","11,775",15,"3,333",5,"256,929,188,771","21,237,258,205"
,GENERAL CRIMES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
,(a) Sex Related Offences,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
20,Rape,"1,580",618,318,644,798,16,1,7,620,584,12,-,-,12,1,-,-,1,7,575,11,-,-,-,-,-,1,-,1,-,,,"1,485",,"4,016","4,000"
21,Defilement,"15,366","6,166","3,615","5,585","8,179",840,46,429,"4,270","5,199",379,22,147,714,129,3,105,52,415,"4,329",571,10,4,3,-,40,-,191,132,"27,200,000",-,228,,"15,366",-,-
22,Indecent Assault,396,118,114,164,199,54,3,22,85,158,3,5,-,48,5,4,-,3,22,84,43,2,1,-,-,-,-,5,6,-,2,8,293,93,-,-
23,Incest,79,29,34,16,21,5,-,5,6,16,-,7,-,5,-,3,-,-,4,11,5,-,3,-,-,-,-,-,-,-,34,1,57,10,-,-
24,Unnatural Offences,100,30,25,45,59,5,-,10,30,42,4,1,-,5,-,-,-,-,10,32,4,-,-,-,-,-,-,1,-,-,51,40,15,-,-,-
,Sub Total(Sex Related),"17,521","6,961","4,106","6,454","9,256",920,50,473,"5,011","5,999",398,35,147,784,135,10,105,56,458,"5,031",634,12,8,3,-,40,1,197,139,"27,200,000",87,277,"1,849","15,469","4,016","4,000"
,(b) Child Related Offences,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
25,Child Neglect,"6,757","2,499","3,865",393,877,120,11,48,214,343,-,55,-,103,-,21,-,6,43,225,52,-,6,-,-,3,1,34,28,"640,000",,"4,755",,"4,206",-,-
26,Child Desertion,"2,299",752,"1,430",117,194,48,1,14,54,58,1,60,1,24,-,21,-,7,7,61,15,-,21,-,-,-,-,5,4,-,,"1,585",,"1,249",-,-
27,Child Stealing,245,97,95,53,77,19,1,4,29,21,1,28,4,3,-,15,3,1,5,27,5,-,13,1,-,-,-,2,-,-,,108,,141,-,-
28,Child Trafficking,84,33,25,26,39,3,-,-,23,17,-,19,2,-,-,3,1,-,-,34,-,-,3,1,-,-,-,-,-,-,,29,,67,-,-
29,Child Abduction/Kidnap,612,265,248,99,180,17,2,9,71,86,-,31,1,11,-,6,-,2,9,90,8,-,1,-,-,1,-,6,1,"100,000",,214,,461,-,-
31,Child Abuse/Torture,"1,449",445,926,78,243,28,-,4,46,62,-,16,-,25,-,3,-,-,4,46,10,-,-,-,-,1,-,6,11,"3,000,000",,931,,703,-,-
32,Infanticide,51,13,21,17,23,4,-,3,10,1,-,15,1,-,-,4,-,-,3,10,1,-,3,-,-,-,-,-,-,-,,34,,20,-,-
33,Abortion,92,42,39,11,16,4,1,1,5,5,-,7,4,2,-,2,-,3,2,7,-1,-,2,-,-,1,-,1,1,"300,000",,19,,75,-,-
,Sub Total(Child Related),"11,589","4,146","6,649",794,"1,649",243,16,83,452,593,2,231,13,168,-,75,4,19,73,500,90,-,49,2,-,6,1,54,45,"4,040,000",-,"7,675",-,"6,922",-,-
,(c ) Breakings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
34,Burglaries,"6,867","2,256","1,511","3,100","3,906",851,50,641,"1,558","3,286",141,82,11,876,43,27,1,76,699,"1,798",735,9,13,-,-,30,2,62,96,"13,768,000","5,126",54,"1,712",8,"14,896,936,673","1,449,951,500"
35,House Breakings,"3,368","1,038",693,"1,637","1,933",471,32,321,813,"1,641",98,64,6,449,23,16,-,52,364,905,355,4,12,-,-,16,1,38,62,"6,288,000","2,482",20,833,29,"3,935,352,209","545,307,100"
36,Shop Breaking,"2,000",670,390,940,"1,224",231,21,181,507,"1,128",42,24,4,267,7,6,-,31,203,684,226,5,5,-,-,6,1,10,27,"6,800,000","1,623",11,421,16,"5,055,172,360","705,691,500"
37,Office Breaking,447,223,84,140,210,37,-,23,80,185,4,7,-,40,1,-,-,-,26,129,29,1,-,-,-,3,-,3,5,"150,000",369,1,77,8,"3,956,916,645","410,679,400"
38,"Other Breakings (garage ,etc )","1,336",368,264,704,818,192,10,145,357,870,35,19,2,218,10,2,-,34,181,481,179,4,1,-,-,8,-,15,23,"2,200,000","1,051",3,272,3,"9,121,558,001","781,194,100"
