District_Name,SCHOOL,Gender,2011 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2012 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2013 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2014 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2015 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points
AMUDAT,POKOT SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,3,66.7,33.3,0,0,0,8,75,25,0,0,2,50,0,50,0,1,0,0,100,0
AMUDAT,,MALE,,0,0,0,0,0,8,12.5,75,12.5,0,0,14,71.4,28.6,0,0,9,55.6,44.4,0,0,4,25,50,25,0
AMUDAT Total,,,,0,0,0,0,0,11,27.3,63.6,9.1,0,0,22,72.7,27.3,0,0,11,54.5,36.4,9.1,0, ,20,40,40,0
PADER,ARCHBP.FLYNN SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,14,21.4,42.9,35.7,0
PADER,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,22,40.9,50,9.1,0
PADER,PADER TOWN HALL LAGWAI SEED SS,FEMALE,3,66.7,0,0,33.3,0,4,50,25,0,25,0,10,40,40,20,0,3,33.3,33.3,33.3,0,3,66.7,33.3,0,0
PADER,,MALE,17,41.2,52.9,0,5.9,0,22,40.9,40.9,13.6,4.5,0,32,75,18.8,6.3,0,18,44.4,55.6,0,0,10,71,20,0,0
PADER,PAJULE SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,5,40,40,20,0,0,16,12.5,62.5,25,0,4,100,0,0,0,2,50,50,0,0
PADER,,MALE,,0,0,0,0,0,19,15.8,52.6,31.6,0,0,58,37.9,37.9,24.1,0,28,46.4,32.1,21.4,0,26,43.8,46.2,3.8,0
PADER Total,,,20,45,45,0,10,0,50,32,44,20,4,0,116,44.8,36.2,19,0,53,49.1,37.7,13.2,0,77,43.8,42.9,10.4,0
SERERE,KAMOD SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,4,50,50,0,0,3,100,0,0,0,4,50,25,25,0
SERERE,,MALE,,0,0,0,0,0,,0,0,0,0,0,38,78.9,21.1,0,0,19,31.6,68.4,0,0,18,62.4,33.3,0,0
SERERE,KYERE SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,1,0,100,0,0,0,8,25,75,0,0,1,0,100,0,0,2,50,50,0,0
SERERE,,MALE,,0,0,0,0,0,17,23.5,58.8,17.6,0,0,34,70.6,29.4,0,0,15,60,33.3,6.7,0,12,51.3,33.3,8.3,0
SERERE,KYERE TOWNSHIP SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,2,100,0,0,0,,0,0,0,0,,0,0,0,0
SERERE,,MALE,,0,0,0,0,0,,0,0,0,0,0,22,63.6,27.3,0,9.1,19,57.9,36.8,5.3,0,,0,0,0,0
SERERE,SERERE SECONDARY SCHOOL,FEMALE,7,71.4,14.3,0,14.3,0,4,25,25,25,25,0,18,66.7,33.3,0,0,5,40,60,0,0,6,52.5,16.7,16.7,0
SERERE,,MALE,34,61.8,35.3,2.9,0,0,41,22,53.7,17.1,7.3,0,54,40.7,59.3,0,0,21,28.6,57.1,14.3,0,32,56.4,25,3.1,0
SERERE,SERERE TOWNSHIP SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,6,33.3,33.3,33.3,0,4,75,25,0,0,5,46.7,40,0,0
